Frame,FPS,MemoryMB,BelowTarget
758,Infinity,1517.28,0
759,Infinity,1517.38,0
760,Infinity,1517.49,0
761,Infinity,1517.63,0
762,Infinity,1517.60,0
763,Infinity,1517.87,0
764,Infinity,1518.03,0
765,Infinity,1517.95,0
766,Infinity,1518.28,0
767,Infinity,1518.39,0
768,Infinity,1518.52,0
769,Infinity,1508.97,0
770,Infinity,1508.21,0
771,Infinity,1509.01,0
772,Infinity,1509.20,0
773,Infinity,1510.85,0
774,Infinity,1511.59,0
775,Infinity,1512.39,0
776,Infinity,1513.07,0
777,Infinity,1513.87,0
778,Infinity,1514.22,0
779,Infinity,1514.55,0
780,Infinity,1514.81,0
781,Infinity,1514.99,0
782,Infinity,1515.88,0
783,Infinity,1516.43,0
784,Infinity,1516.56,0
785,Infinity,1516.79,0
786,Infinity,1516.93,0
787,Infinity,1517.20,0
788,Infinity,1517.38,0
789,Infinity,1517.67,0
790,Infinity,1517.87,0
791,Infinity,1518.09,0
792,Infinity,1518.26,0
793,Infinity,1518.54,0
794,Infinity,1518.75,0
795,Infinity,1519.07,0
796,Infinity,1519.30,0
797,Infinity,1519.52,0
798,Infinity,1519.75,0
799,Infinity,1519.99,0
800,Infinity,1520.22,0
801,Infinity,1520.43,0
802,Infinity,1520.41,0
803,Infinity,1520.75,0
804,Infinity,1520.94,0
805,Infinity,1521.15,0
806,Infinity,1521.36,0
807,Infinity,1521.62,0
808,Infinity,1521.66,0
809,Infinity,1521.96,0
810,Infinity,1522.25,0
811,Infinity,1522.51,0
812,Infinity,1522.64,0
813,Infinity,1522.89,0
814,Infinity,1522.99,0
815,Infinity,1523.15,0
816,Infinity,1523.29,0
817,Infinity,1523.55,0
818,Infinity,1523.77,0
819,Infinity,1523.98,0
820,Infinity,1524.08,0
821,Infinity,1524.29,0
822,Infinity,1524.50,0
823,Infinity,1524.59,0
824,Infinity,1524.65,0
825,Infinity,1524.91,0
826,Infinity,1525.12,0
827,Infinity,1525.30,0
828,Infinity,1525.56,0
829,Infinity,1525.68,0
830,Infinity,1525.90,0
831,Infinity,1526.17,0
832,Infinity,1526.31,0
833,Infinity,1526.48,0
834,Infinity,1526.69,0
835,Infinity,1526.87,0
836,Infinity,1526.80,0
837,Infinity,1527.10,0
838,Infinity,1527.24,0
839,Infinity,1527.61,0
840,Infinity,1527.72,0
841,Infinity,1527.98,0
842,Infinity,1528.12,0
843,Infinity,1528.36,0
844,Infinity,1528.54,0
845,Infinity,1528.89,0
846,Infinity,1529.04,0
847,Infinity,1529.24,0
848,Infinity,1529.44,0
849,Infinity,1529.66,0
850,Infinity,1529.82,0
851,Infinity,1530.02,0
852,Infinity,1530.27,0
853,Infinity,1530.56,0
854,Infinity,1530.83,0
855,Infinity,1531.02,0
856,Infinity,1531.14,0
857,Infinity,1531.27,0
858,Infinity,1531.46,0
859,Infinity,1531.76,0
860,Infinity,1532.03,0
861,Infinity,1532.33,0
862,Infinity,1532.53,0
863,Infinity,1532.78,0
864,Infinity,1533.00,0
865,Infinity,1533.14,0
866,Infinity,1533.37,0
867,Infinity,1533.60,0
868,Infinity,1533.84,0
869,Infinity,1533.94,0
870,Infinity,1534.17,0
871,Infinity,1534.29,0
872,Infinity,1534.43,0
873,Infinity,1534.72,0
874,Infinity,1534.91,0
875,Infinity,1535.08,0
876,Infinity,1535.27,0
877,Infinity,1535.43,0
878,Infinity,1535.68,0
879,Infinity,1535.93,0
880,Infinity,1536.15,0
881,Infinity,1536.42,0
882,Infinity,1536.64,0
883,Infinity,1536.88,0
884,Infinity,1537.12,0
885,Infinity,1537.35,0
886,Infinity,1537.48,0
887,Infinity,1537.76,0
888,Infinity,1537.84,0
889,Infinity,1537.92,0
890,Infinity,1537.82,0
891,Infinity,1538.16,0
892,Infinity,1538.27,0
893,Infinity,1538.46,0
894,Infinity,1538.68,0
895,Infinity,1538.94,0
896,Infinity,1539.10,0
897,Infinity,1539.31,0
898,Infinity,1539.42,0
899,Infinity,1539.54,0
900,Infinity,1539.68,0
901,Infinity,1539.97,0
902,Infinity,1539.93,0
903,Infinity,1540.26,0
904,Infinity,1540.52,0
905,Infinity,1540.64,0
906,Infinity,1540.85,0
907,Infinity,1541.14,0
908,Infinity,1541.29,0
909,Infinity,1541.50,0
910,Infinity,1541.68,0
911,Infinity,1541.87,0
912,Infinity,1542.07,0
913,Infinity,1542.36,0
914,Infinity,1542.44,0
915,Infinity,1542.61,0
916,Infinity,1542.85,0
917,Infinity,1543.04,0
918,Infinity,1543.23,0
919,Infinity,1543.48,0
920,Infinity,1543.61,0
921,Infinity,1543.84,0
922,Infinity,1544.00,0
923,Infinity,1544.16,0
